Odour_presentation,Duration_sniffing,Odour_type_presentation,Video_id,Source,Genotype,Sex,Age,Filtered,Status
Odour2.3,0.76,Familiar3,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,67,No,1
Odour3.1,0.64,Novel1,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,67,No,0
Odour3.2,0.64,Novel2,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,67,No,0
Odour3.3,0.68,Novel3,1671709425764_000000_20222212WFNTDP4311f,ML,H,Male,67,No,0
Odour1.1,20.8,Novel1,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,67,No,1
Odour1.2,4.88,Novel2,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,67,No,1
Odour1.3,1.12,Novel3,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,67,No,1
Odour2.1,2.04,Water1,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,67,No,0
Odour2.2,0,Water2,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,67,No,0
Odour2.3,2.48,Water3,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,67,No,0
Odour3.1,4.56,Familiar1,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,67,No,0
Odour3.2,2.36,Familiar2,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,67,No,0
Odour3.3,0,Familiar3,1671709530848_000000_20222212NWFTDP4331c,ML,H,Male,67,No,0
Odour1.1,34.6,Novel1,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,67,No,1
Odour1.2,20.44,Novel2,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,67,No,1
Odour1.3,12.84,Novel3,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,67,No,1
Odour2.1,16.8,Water1,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,67,No,1
Odour2.2,1.96,Water2,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,67,No,1
Odour2.3,0,Water3,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,67,No,1
Odour3.1,34.12,Familiar1,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,67,No,1
Odour3.2,17.36,Familiar2,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,67,No,1
Odour3.3,14.4,Familiar3,1677141755316_000000_20230223NWFTDP12b,ML,G,Female,67,No,1
Odour1.1,38.36,Novel1,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,67,No,1
Odour1.2,24.28,Novel2,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,67,No,1
Odour1.3,27.88,Novel3,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,67,No,1
Odour2.1,47.36,Water1,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,67,No,1
Odour2.2,15.8,Water2,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,67,No,1
Odour2.3,0,Water3,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,67,No,1
Odour3.1,20.92,Familiar1,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,67,No,1
Odour3.2,15.32,Familiar2,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,67,No,1
Odour3.3,3.76,Familiar3,1677142227995_000000_20230223NWFTDP23c,ML,G,Female,67,No,1
Odour1.1,16.76,Water1,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,67,No,1
Odour1.2,1.76,Water2,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,67,No,1
Odour1.3,7,Water3,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,67,No,1
Odour2.1,54.48,Familiar1,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,67,No,1
Odour2.2,4.28,Familiar2,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,67,No,1
Odour2.3,17.64,Familiar3,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,67,No,1
Odour3.1,39.08,Novel1,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,67,No,1
Odour3.2,10.76,Novel2,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,67,No,1
Odour3.3,7.88,Novel3,1677142291979_000000_20230223WFNTDP12e,ML,H,Female,67,No,1
Odour1.1,6.32,Water1,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,67,No,0
Odour1.2,1.56,Water2,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,67,No,0
Odour1.3,2.2,Water3,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,67,No,0
Odour2.1,32.32,Familiar1,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,67,No,1
Odour2.2,6.76,Familiar2,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,67,No,1
Odour2.3,0.88,Familiar3,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,67,No,1
Odour3.1,31.4,Novel1,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,67,No,1
Odour3.2,11.12,Novel2,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,67,No,1
Odour3.3,4.48,Novel3,1677142318225_000000_20230223WFNTDP24c,ML,H,Female,67,No,1
Odour1.1,10.72,Water1,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,67,No,1
Odour1.2,10.84,Water2,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,67,No,1
Odour1.3,2.64,Water3,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,67,No,1
Odour2.1,45.2,Familiar1,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,67,No,1
Odour2.2,9.2,Familiar2,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,67,No,1
Odour2.3,5.12,Familiar3,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,67,No,1
Odour3.1,22.64,Novel1,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,67,No,1
Odour3.2,23.28,Novel2,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,67,No,1
Odour3.3,4,Novel3,1677142681455_000000_20230223WFNTDP42b,ML,H,Female,67,No,1
Odour1.1,16.36,Water1,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,67,No,1
Odour1.2,2.68,Water2,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,67,No,1
Odour1.3,7.16,Water3,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,67,No,1
Odour2.1,43.92,Familiar1,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,67,No,1
Odour2.2,80.88,Familiar2,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,67,No,1
Odour2.3,20.36,Familiar3,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,67,No,1
Odour3.1,53.4,Novel1,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,67,No,1
Odour3.2,20.92,Novel2,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,67,No,1
Odour3.3,15.92,Novel3,1677150255589_000000_20230223WFNTDP82e,ML,G,Male,67,No,1
Odour1.1,17.16,Water1,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,67,No,1
Odour1.2,14.64,Water2,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,67,No,1
Odour1.3,0,Water3,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,67,No,1
Odour2.1,71.92,Familiar1,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,67,No,1
Odour2.2,51.64,Familiar2,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,67,No,1
Odour2.3,1.4,Familiar3,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,67,No,1
Odour3.1,40.12,Novel1,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,67,No,1
Odour3.2,8.28,Novel2,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,67,No,1
Odour3.3,36.88,Novel3,1677150284105_000000_20230223WFNTDP92f,ML,G,Male,67,No,1
Odour1.1,34.36,Familiar1,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,67,No,1
Odour1.2,10.44,Familiar2,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,67,No,1
Odour1.3,0,Familiar3,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,67,No,1
Odour2.1,22.48,Novel1,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,67,No,1
Odour2.2,8.04,Novel2,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,67,No,1
Odour2.3,7.68,Novel3,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,67,No,1
Odour3.1,0,Water1,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,67,No,0
Odour3.2,0.2,Water2,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,67,No,0
Odour3.3,0,Water3,1677150333334_000000_20230223FNWTDP33i,ML,G,Male,67,No,0
Odour1.1,46.08,Familiar1,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,67,No,1
Odour1.2,30.04,Familiar2,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,67,No,1
Odour1.3,13.64,Familiar3,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,67,No,1
Odour2.1,48.96,Novel1,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,67,No,1
Odour2.2,65.4,Novel2,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,67,No,1
Odour2.3,24.32,Novel3,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,67,No,1
Odour3.1,22.4,Water1,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,67,No,1
Odour3.2,7.32,Water2,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,67,No,1
Odour3.3,1.8,Water3,1677150417591_000000_20230223FNWTDP63f,ML,G,Male,67,No,1
Odour1.1,22.32,Novel1,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,67,No,1
Odour1.2,18.48,Novel2,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,67,No,1
Odour1.3,9.92,Novel3,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,67,No,1
Odour2.1,32.72,Familiar1,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,67,No,1
Odour2.2,5.04,Familiar2,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,67,No,1
Odour2.3,0,Familiar3,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,67,No,1
Odour3.1,6.96,Water1,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,67,No,0
Odour3.2,0,Water2,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,67,No,0
Odour3.3,0,Water3,1677152542625_000000_20230223NFWTDP33k,ML,G,Male,67,No,0
Odour1.1,28.48,Novel1,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,67,No,1
Odour1.2,60.28,Novel2,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,67,No,1
Odour1.3,31.08,Novel3,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,67,No,1
Odour2.1,77.08,Familiar1,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,67,No,1
Odour2.2,83.88,Familiar2,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,67,No,1
Odour2.3,66.72,Familiar3,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,67,No,1
Odour3.1,12.92,Water1,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,67,No,1
Odour3.2,4.96,Water2,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,67,No,1
Odour3.3,1.28,Water3,1677152566807_000000_20230223NFWTDP51j,ML,G,Male,67,No,1
Odour1.1,2.96,Novel1,1677152640243_000000_20230223NFWTDP33n,ML,H,Male,67,No,0
Odour1.2,1.84,Novel2,1677152640243_000000_20230223NFWTDP33n,ML,H,Male,67,No,0
Odour1.3,2.96,Novel3,1677152640243_000000_20230223NFWTDP33n,ML,H,Male,67,No,0
Odour2.1,13.24,Familiar1,1677152640243_000000_20230223NFWTDP33n,ML,H,Male,67,No,1
Odour2.2,10.24,Familiar2,1677152640243_000000_20230223NFWTDP33n,ML,H,Male,67,No,1
Odour2.3,0,Familiar3,1677152640243_000000_20230223NFWTDP33n,ML,H,Male,67,No,1
Odour3.1,3.48,Water1,1677152640243_000000_20230223NFWTDP33n,ML,H,Male,67,No,0
Odour3.2,1.08,Water2,1677152640243_000000_20230223NFWTDP33n,ML,H,Male,67,No,0
Odour3.3,0.84,Water3,1677152640243_000000_20230223NFWTDP33n,ML,H,Male,67,No,0
